NAME,CITY,STATE,NAICS_DESC
DUTCHESS BOCES-PRACTICAL NURSING PROGRAM,POUGHKEEPSIE,NY,OTHER TECHNICAL AND TRADE SCHOOLS
EXPERTISE COSMETOLOGY INSTITUTE,LAS VEGAS,NV,COSMETOLOGY AND BARBER SCHOOLS
JOHNSON & WALES UNIVERSITY-CHARLOTTE,CHARLOTTE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PALM BEACH ACADEMY OF HEALTH & BEAUTY,LAKE PARK,FL,COSMETOLOGY AND BARBER SCHOOLS
REMINGTON COLLEGE-SHREVEPORT CAMPUS,SHREVEPORT,LA,JUNIOR COLLEGES
CAREER QUEST LEARNING CENTERS-JACKSON,JACKSON,MI,JUNIOR COLLEGES
ASSOCIATED TECHNICAL COLLEGE-SAN DIEGO,SAN DIEGO,CA,OTHER TECHNICAL AND TRADE SCHOOLS
NEW TYLER BARBER COLLEGE INC,NORTH LITTLE ROCK,AR,COSMETOLOGY AND BARBER SCHOOLS
MARYMOUNT CALIFORNIA UNIVERSITY,RANCHO PALOS VERDES,CA,JUNIOR COLLEGES
DAWN CAREER INSTITUTE LLC,NEWARK,DE,OTHER TECHNICAL AND TRADE SCHOOLS
CAMELOT COLLEGE,BATON ROUGE,LA,JUNIOR COLLEGES
BATES COLLEGE,LEWISTON,ME,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COLBY COLLEGE,WATERVILLE,ME,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LUTHER SEMINARY,SAINT PAUL,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COTTEY COLLEGE,NEVADA,MO,JUNIOR COLLEGES
PACIFIC OAKS COLLEGE,PASADENA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NATIONAL AVIATION ACADEMY OF TAMPA BAY,CLEARWATER,FL,FLIGHT TRAINING
