NAME,CITY,STATE,NAICS_DESC
SOUTH TEXAS BARBER COLLEGE INC,CORPUS CHRISTI,TX,COSMETOLOGY AND BARBER SCHOOLS
COPIAH-LINCOLN COMMUNITY COLLEGE,WESSON,MS,JUNIOR COLLEGES
LIVINGSTONE COLLEGE,SALISBURY,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PURDUE UNIVERSITY GLOBAL-HAGERSTOWN,HAGERSTOWN,MD,JUNIOR COLLEGES
EMPIRE BEAUTY SCHOOL-BOSTON,BOSTON,MA,COSMETOLOGY AND BARBER SCHOOLS
SH'OR YOSHUV RABBINICAL COLLEGE,LAWRENCE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PARK UNIVERSITY,PARKVILLE,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,MISSION VIEJO,CA,EDUCATIONAL SUPPORT SERVICES
CULPEPER COSMETOLOGY TRAINING CENTER,CULPEPER,VA,COSMETOLOGY AND BARBER SCHOOLS
STATE CENTER COMMUNITY COLLEGE DISTRICT,FRESNO,CA,EDUCATIONAL SUPPORT SERVICES
MARYWOOD UNIVERSITY,SCRANTON,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MISERICORDIA UNIVERSITY,DALLAS,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CARRINGTON COLLEGE-SAN LEANDRO,SAN LEANDRO,CA,JUNIOR COLLEGES
UNIVERSITY OF ADVANCING TECHNOLOGY,TEMPE,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ERIKSON INSTITUTE,CHICAGO,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMPIRE BEAUTY SCHOOL-NW PHOENIX,PHOENIX,AZ,COSMETOLOGY AND BARBER SCHOOLS
EAST LOS ANGELES COLLEGE,MONTEREY PARK,CA,JUNIOR COLLEGES
EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GUY'S SHREVEPORT ACADEMY OF COSMETOLOGY INC,SHREVEPORT,LA,COSMETOLOGY AND BARBER SCHOOLS
LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,JUNIOR COLLEGES
ORANGE COAST COLLEGE,COSTA MESA,CA,JUNIOR COLLEGES
PERALTA COMMUNITY COLLEGE SYSTEM OFFICE,OAKLAND,CA,EDUCATIONAL SUPPORT SERVICES
UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT OFFICE,SAN MATEO,CA,EDUCATIONAL SUPPORT SERVICES
PRATT COMMUNITY COLLEGE,PRATT,KS,JUNIOR COLLEGES
ALVERNIA UNIVERSITY,READING,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DALLAS INSTITUTE OF FUNERAL SERVICE,DALLAS,TX,JUNIOR COLLEGES
CASCADIA COLLEGE,BOTHELL,WA,JUNIOR COLLEGES
AMERICAN BAPTIST COLLEGE,NASHVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BELMONT UNIVERSITY,NASHVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MONTEREY PENINSULA COLLEGE,MONTEREY,CA,JUNIOR COLLEGES
COLORADO CHRISTIAN UNIVERSITY,LAKEWOOD,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BARTON COLLEGE,WILSON,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FAYETTEVILLE STATE UNIVERSITY,FAYETTEVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PLATT COLLEGE-STVT-MCALLEN,MCALLEN,TX,OTHER TECHNICAL AND TRADE SCHOOLS
NORTHEAST TECHNOLOGY CENTER-AFTON,AFTON,OK,OTHER TECHNICAL AND TRADE SCHOOLS
CHAMBERSBURG BEAUTY SCHOOL,CHAMBERSBURG,PA,COSMETOLOGY AND BARBER SCHOOLS
BIRTHWISE MIDWIFERY SCHOOL,BRIDGTON,ME,OTHER TECHNICAL AND TRADE SCHOOLS
SOUTH FLORIDA INSTITUTE OF TECHNOLOGY,MIAMI,FL,OTHER TECHNICAL AND TRADE SCHOOLS
BROOKLINE COLLEGE-ALBUQUERQUE,ALBUQUERQUE,NM,JUNIOR COLLEGES
SPA TECH INSTITUTE-IPSWICH,IPSWICH,MA,OTHER TECHNICAL AND TRADE SCHOOLS
CDA TECHNICAL INSTITUTE,JACKSONVILLE,FL,OTHER TECHNICAL AND TRADE SCHOOLS
COLLEGEAMERICA-COLORADO SPRINGS,COLORADO SPRINGS,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LEXINGTON THEOLOGICAL SEMINARY,LEXINGTON,KY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DAVID PRESSLEY SCHOOL OF COSMETOLOGY,ROYAL OAK,MI,COSMETOLOGY AND BARBER SCHOOLS
FOND DU LAC TRIBAL AND COMMUNITY COLLEGE,CLOQUET,MN,JUNIOR COLLEGES
ROCHESTER COMMUNITY AND TECHNICAL COLLEGE,ROCHESTER,MN,JUNIOR COLLEGES
UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE,ASHEVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ST. ANDREWS UNIVERSITY,LAURINBURG,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MITCHELLS ACADEMY,RALEIGH,NC,COSMETOLOGY AND BARBER SCHOOLS
INTERNATIONAL SCHOOL OF SKIN NAILCARE & MASSAGE THERAPY,ATLANTA,GA,COSMETOLOGY AND BARBER SCHOOLS
EMMAUS BIBLE COLLEGE,DUBUQUE,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BELL MAR BEAUTY COLLEGE,CICERO,IL,COSMETOLOGY AND BARBER SCHOOLS
ILLINOIS COLLEGE OF OPTOMETRY,CHICAGO,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LINCOLN COLLEGE,LINCOLN,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CAPRI INSTITUTE OF HAIR DESIGN-KENILWORTH,KENILWORTH,NJ,COSMETOLOGY AND BARBER SCHOOLS
COLLEGE OF COURT REPORTING INC,VALPARAISO,IN,JUNIOR COLLEGES
MORAVIAN COLLEGE,BETHLEHEM,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,PHILADELPHIA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AUGUSTANA UNIVERSITY,SIOUX FALLS,SD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
QUEEN CITY COLLEGE,CLARKSVILLE,TN,COSMETOLOGY AND BARBER SCHOOLS
KAPIOLANI COMMUNITY COLLEGE,HONOLULU,HI,JUNIOR COLLEGES
WINSTON-SALEM STATE UNIVERSITY,WINSTON-SALEM,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
STRAYER UNIVERSITY - DECATUR CAMPUS,DECATUR,AL,OTHER TECHNICAL AND TRADE SCHOOLS
ARIZONA STATE UNIVERSITY - YAVAPAI COLLEGE PRESCOTT VALLEY CAMPUS,PRESCOTT VALLEY,AZ,OTHER TECHNICAL AND TRADE SCHOOLS
GUIDANCE COLLEGE,HOUSTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CONCORDE CAREER COLLEGE-GRAND PRAIRIE,GRAND PRAIRIE,TX,JUNIOR COLLEGES
NORTHWEST HVAC/R TRAINING CENTER,SPOKANE,WA,OTHER TECHNICAL AND TRADE SCHOOLS
ALLIED HEALTH CAREERS INSTITUTE,MURFREESBORO,TN,OTHER TECHNICAL AND TRADE SCHOOLS
MEDICAL PREP INSTITUTE OF TAMPA BAY,TAMPA,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BALDY VIEW REGIONAL OCCUPATIONAL PROGRAM,ONTARIO,CA,JUNIOR COLLEGES
MASTER'S BARBER & STYLING COLLEGE,OLD HICKORY,TN,COSMETOLOGY AND BARBER SCHOOLS
WESTERN MICHIGAN UNIVERSITY HOMER STRYKER M.D. SCHOOL OF MEDICINE,KALAMAZOO,MI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CINCINNATI SCHOOL OF BARBERING & HAIR DESIGN INC,CINCINNATI,OH,COSMETOLOGY AND BARBER SCHOOLS
CAMBRIDGE INSTITUTE OF ALLIED HEALTH & TECHNOLOGY,ALTAMONTE SPRINGS,FL,OTHER TECHNICAL AND TRADE SCHOOLS
SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,WHITTIER,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FORTIS COLLEGE-CUTLER BAY,CUTLER BAY,FL,JUNIOR COLLEGES
CASA LOMA COLLEGE-VAN NUYS,VAN NUYS,CA,JUNIOR COLLEGES
PALO ALTO UNIVERSITY,PALO ALTO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
STONE CHILD COLLEGE,BOX ELDER,MT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PACIFIC COLLEGE OF ORIENTAL MEDICINE-NEW YORK,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE COLLEGE OF HEALTH CARE PROFESSIONS-SOUTH SAN ANTONIO,SAN ANTONIO,TX,JUNIOR COLLEGES
METROPOLITAN LEARNING INSTITUTE,REGO PARK,NY,OTHER TECHNICAL AND TRADE SCHOOLS
AVIATION INSTITUTE OF MAINTENANCE-DALLAS,IRVING,TX,FLIGHT TRAINING
PIMA MEDICAL INSTITUTE-HOUSTON,HOUSTON,TX,JUNIOR COLLEGES
WELCH COLLEGE,GALLATIN,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DEVRY UNIVERSITY-ADMINISTRATIVE OFFICE,NAPERVILLE,IL,EDUCATIONAL SUPPORT SERVICES
MACOMB COMMUNITY COLLEGE,WARREN,MI,JUNIOR COLLEGES
MARYLAND BEAUTY ACADEMY OF ESSEX,BALTIMORE,MD,COSMETOLOGY AND BARBER SCHOOLS
ERWIN TECHNICAL COLLEGE,TAMPA,FL,OTHER TECHNICAL AND TRADE SCHOOLS
AUSTIN'S BEAUTY COLLEGE INC,CLARKSVILLE,TN,COSMETOLOGY AND BARBER SCHOOLS
MEDICAL CAREER & TECHNICAL COLLEGE,RICHMOND,KY,OTHER TECHNICAL AND TRADE SCHOOLS
MISSION BEAUTY INSTITUTE,MISSION,TX,COSMETOLOGY AND BARBER SCHOOLS
NORTHEAST LAKEVIEW COLLEGE,UNIVERSAL CITY,TX,JUNIOR COLLEGES
MILAN INSTITUTE-BAKERSFIELD WEST,BAKERSFIELD,CA,JUNIOR COLLEGES
LAC COURTE OREILLES OJIBWE COLLEGE,HAYWARD,WI,JUNIOR COLLEGES
ODESSA COLLEGE,ODESSA,TX,JUNIOR COLLEGES
MKG BEAUTY & BUSINESS,CRANSTON,RI,COSMETOLOGY AND BARBER SCHOOLS
CENTRAL TEXAS COLLEGE,KILLEEN,TX,JUNIOR COLLEGES
ATLANTA METROPOLITAN STATE COLLEGE,ATLANTA,GA,JUNIOR COLLEGES
WESTERN GOVERNORS UNIVERSITY,SALT LAKE CITY,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PONTIFICAL FACULTY OF THE IMMACULATE CONCEPTION AT THE DOMINICAN HOUSE OF STUDIES,WASHINGTON,DC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSAL TECHNICAL INSTITUTE OF TEXAS INC.,HOUSTON,TX,OTHER TECHNICAL AND TRADE SCHOOLS
WESTERN SEMINARY,PORTLAND,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
VIRGINIA STATE UNIVERSITY,PETERSBURG,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
VIRGINIA WESLEYAN UNIVERSITY,VIRGINIA BEACH,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF NORTH DAKOTA,GRAND FORKS,ND,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF MAINE AT FARMINGTON,FARMINGTON,ME,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WRIGHT BEAUTY ACADEMY,BATTLE CREEK,MI,COSMETOLOGY AND BARBER SCHOOLS
UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AMERICAN COLLEGE OF ACUPUNCTURE AND ORIENTAL MED,HOUSTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WEST COAST UNIVERSITY-ORANGE COUNTY,ANAHEIM,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CORTIVA INSTITUTE-DALLAS,RICHARDSON,TX,OTHER TECHNICAL AND TRADE SCHOOLS
AMERICAN SENTINEL UNIVERSITY,AURORA,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SACRED HEART UNIVERSITY,FAIRFIELD,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNITECH TRAINING ACADEMY-HOUMA,HOUMA,LA,OTHER TECHNICAL AND TRADE SCHOOLS
CONNECTICUT COLLEGE,NEW LONDON,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GOODWIN COLLEGE,EAST HARTFORD,CT,JUNIOR COLLEGES
NEW YORK COLLEGE OF PODIATRIC MEDICINE,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHAMBERLAIN UNIVERSITY-INDIANA,INDIANAPOLIS,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN WORCESTER COUNTY REGIONAL VOCATIONAL SCHOOL DISTRICT,CHARLTON,MA,OTHER TECHNICAL AND TRADE SCHOOLS
INTERNATIONAL COLLEGE OF BEAUTY ARTS & SCIENCES,LOS ANGELES,CA,COSMETOLOGY AND BARBER SCHOOLS
GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,JUNIOR COLLEGES
OHIO STATE UNIVERSITY-LIMA CAMPUS,LIMA,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMPIRE BEAUTY SCHOOL-WEST GREENSBORO,GREENSBORO,NC,COSMETOLOGY AND BARBER SCHOOLS
ROSS MEDICAL EDUCATION CENTER-ERLANGER,ERLANGER,KY,OTHER TECHNICAL AND TRADE SCHOOLS
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,ROANOKE,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DELTA COLLEGE-SLIDELL CAMPUS,SLIDELL,LA,OTHER TECHNICAL AND TRADE SCHOOLS
PAUL MITCHELL THE SCHOOL-SCHENECTADY,SCHENECTADY,NY,COSMETOLOGY AND BARBER SCHOOLS
ROSS MEDICAL EDUCATION CENTER-OWENSBORO,OWENSBORO,KY,OTHER TECHNICAL AND TRADE SCHOOLS
ROSS MEDICAL EDUCATION CENTER-EVANSVILLE,EVANSVILLE,IN,OTHER TECHNICAL AND TRADE SCHOOLS
NORTH-WEST COLLEGE-ANAHEIM,ANAHEIM,CA,OTHER TECHNICAL AND TRADE SCHOOLS
QUINSIGAMOND COMMUNITY COLLEGE,WORCESTER,MA,JUNIOR COLLEGES
KC'S SCHOOL OF HAIR DESIGN,PONTOTOC,MS,COSMETOLOGY AND BARBER SCHOOLS
TEXAS A&M UNIVERSITY-CENTRAL TEXAS,KILLEEN,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FIRST CLASS COSMETOLOGY SCHOOL,BELOIT,WI,COSMETOLOGY AND BARBER SCHOOLS
STRAYER UNIVERSITY-VIRGINIA,ARLINGTON,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PRESTIGE HEALTH & BEAUTY SCIENCES ACADEMY,NORTH MIAMI BEACH,FL,COSMETOLOGY AND BARBER SCHOOLS
THE HEALTHCARE INSTITUTE,SAN ANTONIO,TX,OTHER TECHNICAL AND TRADE SCHOOLS
EMPIRE BEAUTY SCHOOL-NORTHLAKE,ATLANTA,GA,COSMETOLOGY AND BARBER SCHOOLS
CHAMBERLAIN UNIVERSITY-NEW JERSEY,NORTH BRUNSWICK,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CENTER FOR ULTRASOUND RESEARCH & EDUCATION,WHITE PLAINS,NY,OTHER TECHNICAL AND TRADE SCHOOLS
HVAC TECHNICAL INSTITUTE,CHICAGO,IL,OTHER TECHNICAL AND TRADE SCHOOLS
HIRAM COLLEGE,HIRAM,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
METHODIST COLLEGE,PEORIA,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,CARBONDALE,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF KANSAS,LAWRENCE,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TOLEDO PUBLIC SCHOOLS ADULT AND CONTINUING EDUCATION,TOLEDO,OH,OTHER TECHNICAL AND TRADE SCHOOLS
CUYAHOGA COMMUNITY COLLEGE DISTRICT,CLEVELAND,OH,JUNIOR COLLEGES
CAPE FEAR COMMUNITY COLLEGE,WILMINGTON,NC,JUNIOR COLLEGES
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT IRVINE,IRVINE,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SHASTA SCHOOL OF COSMETOLOGY,REDDING,CA,COSMETOLOGY AND BARBER SCHOOLS
MEDICAL INSTITUTE OF PALM BEACH,GREENACRES,FL,OTHER TECHNICAL AND TRADE SCHOOLS
ROSS MEDICAL EDUCATION CENTER-BATTLE CREEK,BATTLE CREEK,MI,OTHER TECHNICAL AND TRADE SCHOOLS
WESTERN ILLINOIS UNIVERSITY,MACOMB,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PENNSYLVANIA STATE UNIVERSITY-PENN STATE ALTOONA,ALTOONA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHWEST WISCONSIN TECHNICAL COLLEGE,FENNIMORE,WI,JUNIOR COLLEGES
MIDWESTERN STATE UNIVERSITY,WICHITA FALLS,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CARVER CAREER CENTER,CHARLESTON,WV,JUNIOR COLLEGES
LIL LOU'S BEAUTY AND BARBER COLLEGE LLC,GARY,IN,COSMETOLOGY AND BARBER SCHOOLS
REFLECTIONS ACADEMY OF BEAUTY,DECATUR,IL,COSMETOLOGY AND BARBER SCHOOLS
DIVERSIFIED VOCATIONAL COLLEGE,LOS ANGELES,CA,OTHER TECHNICAL AND TRADE SCHOOLS
EMPIRE BEAUTY SCHOOL-SHAMOKIN DAM,SHAMOKIN DAM,PA,COSMETOLOGY AND BARBER SCHOOLS
GREAT LAKES INSTITUTE OF TECHNOLOGY,ERIE,PA,OTHER TECHNICAL AND TRADE SCHOOLS
PENNSYLVANIA STATE UNIVERSITY-PENN STATE SHENANGO,SHARON,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MIDLANDS TECHNICAL COLLEGE,WEST COLUMBIA,SC,JUNIOR COLLEGES
FORTIS COLLEGE-COLUMBUS,WESTERVILLE,OH,JUNIOR COLLEGES
SCIOTO COUNTY CAREER TECHNICAL CENTER,LUCASVILLE,OH,OTHER TECHNICAL AND TRADE SCHOOLS
JNA INSTITUTE OF CULINARY ARTS,PHILADELPHIA,PA,JUNIOR COLLEGES
UNIVERSITY OF WEST GEORGIA,CARROLLTON,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CITY COLLEGES OF CHICAGO-WILBUR WRIGHT COLLEGE,CHICAGO,IL,JUNIOR COLLEGES
WASHINGTON COUNTY CAREER CENTER-ADULT TECHNICAL TRAINING,MARIETTA,OH,OTHER TECHNICAL AND TRADE SCHOOLS
COFFEYVILLE COMMUNITY COLLEGE,COFFEYVILLE,KS,JUNIOR COLLEGES
DREXEL UNIVERSITY,PHILADELPHIA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DAKOTA WESLEYAN UNIVERSITY,MITCHELL,SD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF HOUSTON,HOUSTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTH CAROLINA STATE UNIVERSITY,ORANGEBURG,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN WESLEYAN UNIVERSITY,CENTRAL,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-DICKSON,DICKSON,TN,OTHER TECHNICAL AND TRADE SCHOOLS
NOSSI COLLEGE OF ART,NASHVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GUILFORD TECHNICAL COMMUNITY COLLEGE,JAMESTOWN,NC,JUNIOR COLLEGES
EAGLE GATE COLLEGE-LAYTON,LAYTON,UT,JUNIOR COLLEGES
PAUL MITCHELL THE SCHOOL-LOGAN,LOGAN,UT,COSMETOLOGY AND BARBER SCHOOLS
HARDING UNIVERSITY,SEARCY,AR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BRENAU UNIVERSITY,GAINESVILLE,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GWINNETT COLLEGE-LILBURN,LILBURN,GA,JUNIOR COLLEGES
GOLDEN GATE UNIVERSITY-SAN FRANCISCO,SAN FRANCISCO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LUTHER RICE COLLEGE & SEMINARY,LITHONIA,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LAWRENCE UNIVERSITY,APPLETON,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SAN JOSE CITY COLLEGE,SAN JOSE,CA,JUNIOR COLLEGES
CONCORDE CAREER COLLEGE-AURORA,AURORA,CO,JUNIOR COLLEGES
CUYAMACA COLLEGE,EL CAJON,CA,JUNIOR COLLEGES
SOUTHCENTRAL KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,BOWLING GREEN,KY,JUNIOR COLLEGES
BIG BEND TECHNICAL COLLEGE,PERRY,FL,OTHER TECHNICAL AND TRADE SCHOOLS
ORANGE TECHNICAL COLLEGE-WESTSIDE CAMPUS,WINTER GARDEN,FL,COSMETOLOGY AND BARBER SCHOOLS
EMPIRE BEAUTY SCHOOL-MAINE,PORTLAND,ME,COSMETOLOGY AND BARBER SCHOOLS
KIRTLAND COMMUNITY COLLEGE,GRAYLING,MI,JUNIOR COLLEGES
MINNESOTA SCHOOL OF COSMETOLOGY-WOODBURY CAMPUS,WOODBURY,MN,COSMETOLOGY AND BARBER SCHOOLS
HOBART WILLIAM SMITH COLLEGES,GENEVA,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
JFK MUHLENBERG HAROLD B. AND DOROTHY A. SNYDER SCHOOLS-SCHOOL OF IMAGING,PLAINFIELD,NJ,OTHER TECHNICAL AND TRADE SCHOOLS
YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION,YORK,PA,OTHER TECHNICAL AND TRADE SCHOOLS
MASSAGE THERAPY INSTITUTE OF COLORADO,DENVER,CO,OTHER TECHNICAL AND TRADE SCHOOLS
DALLAS NURSING INSTITUTE,RICHARDSON,TX,JUNIOR COLLEGES
ORLEANS NIAGARA BOCES-PRACTICAL NURSING PROGRAM,SANBORN,NY,OTHER TECHNICAL AND TRADE SCHOOLS
DORSEY SCHOOL OF BUSINESS-WAYNE,WAYNE,MI,BUSINESS AND SECRETARIAL SCHOOLS
PIMA MEDICAL INSTITUTE-SEATTLE,SEATTLE,WA,JUNIOR COLLEGES
EMPIRE BEAUTY SCHOOL-MALDEN,MALDEN,MA,COSMETOLOGY AND BARBER SCHOOLS
INDIANA UNIVERSITY-SOUTH BEND,SOUTH BEND,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CORTIVA INSTITUTE-MAITLAND,MAITLAND,FL,JUNIOR COLLEGES
COLLEEN O'HARAS BEAUTY ACADEMY,SANTA ANA,CA,COSMETOLOGY AND BARBER SCHOOLS
ELITE WELDING ACADEMY LLC,CINCINNATI,OH,OTHER TECHNICAL AND TRADE SCHOOLS
CRAVE BEAUTY ACADEMY,WICHITA,KS,COSMETOLOGY AND BARBER SCHOOLS
DELTA STATE UNIVERSITY,CLEVELAND,MS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CUNY KINGSBOROUGH COMMUNITY COLLEGE,BROOKLYN,NY,JUNIOR COLLEGES
SUMTER BEAUTY COLLEGE,SUMTER,SC,COSMETOLOGY AND BARBER SCHOOLS
BAY DE NOC COMMUNITY COLLEGE,ESCANABA,MI,JUNIOR COLLEGES
CENTRAL METHODIST UNIVERSITY-COLLEGE OF LIBERAL ARTS AND SCIENCES,FAYETTE,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CUNY QUEENSBOROUGH COMMUNITY COLLEGE,BAYSIDE,NY,JUNIOR COLLEGES
BINGHAMTON UNIVERSITY,VESTAL,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SUNY AT FREDONIA,FREDONIA,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
